skill,param,class,value
Q_5_S_103,forgets,default,0.42669445546712154
Q_6_S_103,prior,default,0.0005178082923235258
Q_6_S_103,learns,default,0.9745517198418769
Q_6_S_103,guesses,default,0.027712219042685327
Q_6_S_103,slips,default,0.0002625762098468676
Q_6_S_103,forgets,default,0.002468285583239679
Q_7_S_103,prior,default,0.002784192331013454
Q_7_S_103,learns,default,0.0007036971893193336
Q_7_S_103,guesses,default,0.0
Q_7_S_103,slips,default,1.0
Q_7_S_103,forgets,default,0.9893638841713693
Q_0_S_104,prior,default,0.1253441385790834
Q_0_S_104,learns,default,0.004914817649734051
Q_0_S_104,guesses,default,0.0
Q_0_S_104,slips,default,1.0
Q_0_S_104,forgets,default,0.9701957664260256
Q_1_S_104,prior,default,0.8833525792811969
Q_1_S_104,learns,default,0.8327815721157781
Q_1_S_104,guesses,default,1.0
Q_1_S_104,slips,default,0.0
Q_1_S_104,forgets,default,0.997412685886455
Q_2_S_104,prior,default,0.06124968908078096
Q_2_S_104,learns,default,0.37302912944266653
Q_2_S_104,guesses,default,0.6856828872061304
Q_2_S_104,slips,default,0.06035567979394981
Q_2_S_104,forgets,default,0.9113022857078641
Q_3_S_104,prior,default,0.7571631923310034
Q_3_S_104,learns,default,0.4986516724266249
Q_3_S_104,guesses,default,1.0
Q_3_S_104,slips,default,0.0
Q_3_S_104,forgets,default,0.9187661408132176
Q_4_S_104,prior,default,0.9282681762033682
Q_4_S_104,learns,default,0.8318954757847428
Q_4_S_104,guesses,default,1.0
Q_4_S_104,slips,default,0.0
Q_4_S_104,forgets,default,0.08010497997342746
Q_5_S_104,prior,default,0.9635820841267405
Q_5_S_104,learns,default,0.7571638429568809
Q_5_S_104,guesses,default,1.0
Q_5_S_104,slips,default,0.0
Q_5_S_104,forgets,default,0.3970515580737104
Q_6_S_104,prior,default,0.07142237501669788
Q_6_S_104,learns,default,0.06761139697611811
Q_6_S_104,guesses,default,0.0
Q_6_S_104,slips,default,1.0
Q_6_S_104,forgets,default,0.41205529281697784
Q_7_S_104,prior,default,0.015433298658424147
Q_7_S_104,learns,default,0.08786543239860681
Q_7_S_104,guesses,default,0.0
Q_7_S_104,slips,default,1.0
Q_7_S_104,forgets,default,0.973422487974437
Q_0_S_105,prior,default,0.46062689809974544
Q_0_S_105,learns,default,0.23676603582992037
Q_0_S_105,guesses,default,0.44228930517331333
Q_0_S_105,slips,default,0.41290665621477396
Q_0_S_105,forgets,default,0.38495235880547246
Q_1_S_105,prior,default,0.7445018642069419
Q_1_S_105,learns,default,0.3454844145474013
Q_1_S_105,guesses,default,1.0
Q_1_S_105,slips,default,0.0
Q_1_S_105,forgets,default,0.9840001615175654
Q_2_S_105,prior,default,0.992680639887019
Q_2_S_105,learns,default,0.7658176547365775
Q_2_S_105,guesses,default,0.42135994584557834
Q_2_S_105,slips,default,0.0059302067110008835
Q_2_S_105,forgets,default,0.799141517148285
Q_3_S_105,prior,default,0.7422885063392681
Q_3_S_105,learns,default,0.11048473417194624
Q_3_S_105,guesses,default,1.0
Q_3_S_105,slips,default,0.0
Q_3_S_105,forgets,default,0.015434043188452564
Q_4_S_105,prior,default,0.9961211925234237
Q_4_S_105,learns,default,0.7346030382998389
Q_4_S_105,guesses,default,1.0
Q_4_S_105,slips,default,0.0
Q_4_S_105,forgets,default,0.041150638256263
Q_5_S_105,prior,default,0.6747794238102978
Q_5_S_105,learns,default,0.8134473119304972
Q_5_S_105,guesses,default,1.0
Q_5_S_105,slips,default,0.0
Q_5_S_105,forgets,default,0.139275226707783
Q_6_S_105,prior,default,0.9466172982971471
Q_6_S_105,learns,default,0.12319409816372831
Q_6_S_105,guesses,default,1.0
Q_6_S_105,slips,default,0.0
Q_6_S_105,forgets,default,0.3086167546782041
Q_7_S_105,prior,default,0.36335960926766675
