skill,param,class,value
Q_1_S_102,prior,default,0.9682813586766741
Q_1_S_102,learns,default,0.5851127598129143
Q_1_S_102,guesses,default,0.519726425978409
Q_1_S_102,slips,default,0.0007676098814722978
Q_1_S_102,forgets,default,0.9331956710279264
Q_2_S_102,prior,default,0.01992309234520064
Q_2_S_102,learns,default,0.006802937571973685
Q_2_S_102,guesses,default,0.0
Q_2_S_102,slips,default,1.0
Q_2_S_102,forgets,default,0.9852347479645067
Q_3_S_102,prior,default,0.9992527003828062
Q_3_S_102,learns,default,0.9719061481549899
Q_3_S_102,guesses,default,0.007265528889081917
Q_3_S_102,slips,default,1.1121713383089381e-05
Q_3_S_102,forgets,default,0.9999999949295617
Q_4_S_102,prior,default,0.006534573835793001
Q_4_S_102,learns,default,0.33390790510970025
Q_4_S_102,guesses,default,0.05842332418642828
Q_4_S_102,slips,default,0.285465565867761
Q_4_S_102,forgets,default,0.18711958048207783
Q_5_S_102,prior,default,0.9022407339616518
Q_5_S_102,learns,default,0.6209433423922686
Q_5_S_102,guesses,default,1.0
Q_5_S_102,slips,default,0.0
Q_5_S_102,forgets,default,0.8535132420643465
Q_6_S_102,prior,default,0.1710856389939397
Q_6_S_102,learns,default,0.022961581987070295
Q_6_S_102,guesses,default,0.0
Q_6_S_102,slips,default,1.0
Q_6_S_102,forgets,default,0.9216877274632495
Q_7_S_102,prior,default,0.09406627383828135
Q_7_S_102,learns,default,0.03825050075978851
Q_7_S_102,guesses,default,0.0
Q_7_S_102,slips,default,1.0
Q_7_S_102,forgets,default,0.6772081704491384
Q_0_S_103,prior,default,0.9867111009961402
Q_0_S_103,learns,default,0.00010172246487201733
Q_0_S_103,guesses,default,0.004410497424410459
Q_0_S_103,slips,default,0.0002765676816813931
Q_0_S_103,forgets,default,0.9999309050271513
Q_1_S_103,prior,default,0.7814209357461954
Q_1_S_103,learns,default,0.41268985444953815
Q_1_S_103,guesses,default,0.5999719039518152
Q_1_S_103,slips,default,0.003507407892304775
Q_1_S_103,forgets,default,0.9971573593977058
Q_2_S_103,prior,default,0.9998895701605519
Q_2_S_103,learns,default,0.5024214733304262
Q_2_S_103,guesses,default,0.007021301056616961
Q_2_S_103,slips,default,0.0168792529429948
Q_2_S_103,forgets,default,0.9685267866286645
Q_3_S_103,prior,default,0.7834660664218798
Q_3_S_103,learns,default,0.6226156545253944
Q_3_S_103,guesses,default,1.0
Q_3_S_103,slips,default,0.0
Q_3_S_103,forgets,default,0.011868501128797027
Q_4_S_103,prior,default,0.7962522697413623
Q_4_S_103,learns,default,0.29636275916262145
Q_4_S_103,guesses,default,1.0
Q_4_S_103,slips,default,0.0
Q_4_S_103,forgets,default,0.3567939437397686
Q_5_S_103,prior,default,0.9360332184046166
Q_5_S_103,learns,default,0.6621839089311018
Q_5_S_103,guesses,default,1.0
Q_5_S_103,slips,default,0.0
Q_5_S_103,forgets,default,0.08999359892812463
Q_6_S_103,prior,default,5.012515280994619e-06
Q_6_S_103,learns,default,0.9998132910476271
Q_6_S_103,guesses,default,0.00018913741349924589
Q_6_S_103,slips,default,2.1949270504663546e-05
Q_6_S_103,forgets,default,0.9999295115231707
Q_7_S_103,prior,default,0.540957449999856
Q_7_S_103,learns,default,0.15845117456375962
Q_7_S_103,guesses,default,0.0
Q_7_S_103,slips,default,1.0
Q_7_S_103,forgets,default,0.4679953971583239
Q_0_S_104,prior,default,0.38242179988364433
Q_0_S_104,learns,default,0.03383002175267867
Q_0_S_104,guesses,default,0.0
Q_0_S_104,slips,default,1.0
Q_0_S_104,forgets,default,0.8385740599302267
Q_1_S_104,prior,default,0.9950388992694661
Q_1_S_104,learns,default,0.5761301773055587
Q_1_S_104,guesses,default,1.0
Q_1_S_104,slips,default,0.0
Q_1_S_104,forgets,default,0.812665503226313
Q_2_S_104,prior,default,0.9987786015742676
Q_2_S_104,learns,default,0.8360802857637861
